Id,AcquireSound,UseSound,Volume
5001,Item_Get_DamageUp,No,1
5002,Item_Get_DamageUp,No,1
5003,Item_Get_DamageUp,No,1
5004,Item_Get_DamageUp,No,1
5005,Item_Get_AttakSpeedUp,No,1
5006,Item_Get_DamageUp,No,1
5007,Item_Get_AllStatsUp,No,1
5008,Item_Get_SpeedUp,No,1
5009,Item_Get_RangeUp,No,1
5010,Item_Get_SpeedUp,No,1
5011,Item_Get_SpeedUp,No,1
5012,Item_Get_RangeUp,No,1
5013,Item_Get_RangeUp,No,1
5014,Item_Get_RangeUp,No,1
5015,Item_Get_DamageUp,No,1
5016,Item_Get_DamageUp,No,1
5017,Item_Get_DamageUp,No,1
5018,Item_Get_AttakSpeedUp,No,1
5019,Item_Get_DamageUp,No,1
5020,Item_Get_DamageUp,No,1
5021,Item_Get_RangeUp,No,1
5022,No,Item_Use_Dice,1
5023,No,Item_Use_Key,1
5024,No,Item_Use_Bomb,1